file,directory,date_logged,log_name,contractor,data_type,log_service,log_activity,log_type,log_job,log_run,log_pass,casing_size_manual,section_size,station_number,station_depth,mfc_correction,interpretation_number,date_stamp
WL_RAW_PROD_CCL-PLUG_2016-01-17_1-6_INF_1-60045.ASC,/project/recall/prod/arc/norway_a/files/OSEBERG_S_R/NO_30_9_F_13_AT2,2016/01/17,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,,,,,,2016/03/14:09:46:40
WL_RAW_PROD_CCL_2016-01-17_1-2_INF_1-60047.ASC,/project/recall/prod/arc/norway_a/files/OSEBERG_S_R/NO_30_9_F_13_AT2,2016/01/17,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,,,,,,2016/03/14:09:50:26
WL_RAW_GR-PRES-REMP_MWD_1_INF_1-71584.html,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,All sections,,,,,2016/07/11:13:22:04
2010_SchlumbergerDisclaimer-71595.txt,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:13:33:14
colorschememapping-71620.xml,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:14:03:10
filelist-71623.xml,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:14:06:55
header-71621.HTML,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:14:04:23
PRESSURE_REPORT-71596.HTML,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:13:34:24
RM_StethoScope_Run12_Test1-71598.LAS,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:13:36:44
RM_StethoScope_Run12_Test2-71599.LAS,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:13:37:54
